,Country,Latitude,Longitude,Confirmed,Deaths
2020-02-21,Albania,41.1533,20.1683,0,0
2020-02-22,Albania,41.1533,20.1683,0,0
2020-02-23,Albania,41.1533,20.1683,0,0
2020-02-24,Albania,41.1533,20.1683,0,0
2020-02-25,Albania,41.1533,20.1683,0,0
2020-02-26,Albania,41.1533,20.1683,0,0
2020-02-27,Albania,41.1533,20.1683,0,0
2020-02-28,Albania,41.1533,20.1683,0,0
2020-02-29,Albania,41.1533,20.1683,0,0
2020-03-01,Albania,41.1533,20.1683,0,0
2020-03-02,Albania,41.1533,20.1683,0,0
2020-03-03,Albania,41.1533,20.1683,0,0
2020-03-04,Albania,41.1533,20.1683,0,0
2020-03-05,Albania,41.1533,20.1683,0,0
2020-03-06,Albania,41.1533,20.1683,0,0
2020-03-07,Albania,41.1533,20.1683,0,0
2020-03-08,Albania,41.1533,20.1683,0,0
2020-03-09,Albania,41.1533,20.1683,2,0
2020-03-10,Albania,41.1533,20.1683,10,0
2020-03-11,Albania,41.1533,20.1683,12,1
2020-03-12,Albania,41.1533,20.1683,23,1
2020-03-13,Albania,41.1533,20.1683,33,1
2020-03-14,Albania,41.1533,20.1683,38,1
2020-03-15,Albania,41.1533,20.1683,42,1
2020-03-16,Albania,41.1533,20.1683,51,1
2020-03-17,Albania,41.1533,20.1683,55,1
2020-03-18,Albania,41.1533,20.1683,59,2
2020-03-19,Albania,41.1533,20.1683,64,2
2020-03-20,Albania,41.1533,20.1683,70,2
2020-03-21,Albania,41.1533,20.1683,76,2
2020-03-22,Albania,41.1533,20.1683,89,2
2020-03-23,Albania,41.1533,20.1683,104,4
2020-03-24,Albania,41.1533,20.1683,123,5
2020-03-25,Albania,41.1533,20.1683,146,5
2020-03-26,Albania,41.1533,20.1683,174,6
2020-03-27,Albania,41.1533,20.1683,186,8
2020-03-28,Albania,41.1533,20.1683,197,10
2020-03-29,Albania,41.1533,20.1683,212,10
2020-03-30,Albania,41.1533,20.1683,223,11
2020-03-31,Albania,41.1533,20.1683,243,15
2020-04-01,Albania,41.1533,20.1683,259,15
2020-04-02,Albania,41.1533,20.1683,277,16
2020-04-03,Albania,41.1533,20.1683,304,17
2020-04-04,Albania,41.1533,20.1683,333,20
2020-04-05,Albania,41.1533,20.1683,361,20
2020-04-06,Albania,41.1533,20.1683,377,21
2020-04-07,Albania,41.1533,20.1683,383,22
2020-01-22,Algeria,28.0339,1.6596,0,0
2020-01-23,Algeria,28.0339,1.6596,0,0
2020-01-24,Algeria,28.0339,1.6596,0,0
2020-01-25,Algeria,28.0339,1.6596,0,0
2020-01-26,Algeria,28.0339,1.6596,0,0
2020-01-27,Algeria,28.0339,1.6596,0,0
2020-01-28,Algeria,28.0339,1.6596,0,0
2020-01-29,Algeria,28.0339,1.6596,0,0
2020-01-30,Algeria,28.0339,1.6596,0,0
2020-01-31,Algeria,28.0339,1.6596,0,0
2020-02-01,Algeria,28.0339,1.6596,0,0
2020-02-02,Algeria,28.0339,1.6596,0,0
2020-02-03,Algeria,28.0339,1.6596,0,0
2020-02-04,Algeria,28.0339,1.6596,0,0
2020-02-05,Algeria,28.0339,1.6596,0,0
2020-02-06,Algeria,28.0339,1.6596,0,0
2020-02-07,Algeria,28.0339,1.6596,0,0
2020-02-08,Algeria,28.0339,1.6596,0,0
2020-02-09,Algeria,28.0339,1.6596,0,0
2020-02-10,Algeria,28.0339,1.6596,0,0
2020-02-11,Algeria,28.0339,1.6596,0,0
2020-02-12,Algeria,28.0339,1.6596,0,0
2020-02-13,Algeria,28.0339,1.6596,0,0
2020-02-14,Algeria,28.0339,1.6596,0,0
2020-02-15,Algeria,28.0339,1.6596,0,0
2020-02-16,Algeria,28.0339,1.6596,0,0
2020-02-17,Algeria,28.0339,1.6596,0,0
2020-02-18,Algeria,28.0339,1.6596,0,0
2020-02-19,Algeria,28.0339,1.6596,0,0
2020-02-20,Algeria,28.0339,1.6596,0,0
2020-02-21,Algeria,28.0339,1.6596,0,0
2020-02-22,Algeria,28.0339,1.6596,0,0
2020-02-23,Algeria,28.0339,1.6596,0,0
2020-02-24,Algeria,28.0339,1.6596,0,0
2020-02-25,Algeria,28.0339,1.6596,1,0
2020-02-26,Algeria,28.0339,1.6596,1,0
2020-02-27,Algeria,28.0339,1.6596,1,0
2020-02-28,Algeria,28.0339,1.6596,1,0
2020-02-29,Algeria,28.0339,1.6596,1,0
2020-03-01,Algeria,28.0339,1.6596,1,0
2020-03-02,Algeria,28.0339,1.6596,3,0
2020-03-03,Algeria,28.0339,1.6596,5,0
2020-03-04,Algeria,28.0339,1.6596,12,0
2020-03-05,Algeria,28.0339,1.6596,12,0
2020-03-06,Algeria,28.0339,1.6596,17,0
2020-03-07,Algeria,28.0339,1.6596,17,0
2020-03-08,Algeria,28.0339,1.6596,19,0
2020-03-09,Algeria,28.0339,1.6596,20,0
2020-03-10,Algeria,28.0339,1.6596,20,0
2020-03-11,Algeria,28.0339,1.6596,20,0
2020-03-12,Algeria,28.0339,1.6596,24,1
2020-03-13,Algeria,28.0339,1.6596,26,2
2020-03-14,Algeria,28.0339,1.6596,37,3
2020-03-15,Algeria,28.0339,1.6596,48,4
2020-03-16,Algeria,28.0339,1.6596,54,4
2020-03-17,Algeria,28.0339,1.6596,60,4
2020-03-18,Algeria,28.0339,1.6596,74,7
2020-03-19,Algeria,28.0339,1.6596,87,9
2020-03-20,Algeria,28.0339,1.6596,90,11
2020-03-21,Algeria,28.0339,1.6596,139,15
2020-03-22,Algeria,28.0339,1.6596,201,17
2020-03-23,Algeria,28.0339,1.6596,230,17
2020-03-24,Algeria,28.0339,1.6596,264,19
2020-03-25,Algeria,28.0339,1.6596,302,21
2020-03-26,Algeria,28.0339,1.6596,367,25
2020-03-27,Algeria,28.0339,1.6596,409,26
2020-03-28,Algeria,28.0339,1.6596,454,29
2020-03-29,Algeria,28.0339,1.6596,511,31
2020-03-30,Algeria,28.0339,1.6596,584,35
2020-03-31,Algeria,28.0339,1.6596,716,44
2020-04-01,Algeria,28.0339,1.6596,847,58
2020-04-02,Algeria,28.0339,1.6596,986,86
2020-04-03,Algeria,28.0339,1.6596,1171,105
2020-04-04,Algeria,28.0339,1.6596,1251,130
2020-04-05,Algeria,28.0339,1.6596,1320,152
2020-04-06,Algeria,28.0339,1.6596,1423,173
2020-04-07,Algeria,28.0339,1.6596,1468,193
2020-01-22,Andorra,42.5063,1.5218,0,0
2020-01-23,Andorra,42.5063,1.5218,0,0
2020-01-24,Andorra,42.5063,1.5218,0,0
2020-01-25,Andorra,42.5063,1.5218,0,0
2020-01-26,Andorra,42.5063,1.5218,0,0
2020-01-27,Andorra,42.5063,1.5218,0,0
2020-01-28,Andorra,42.5063,1.5218,0,0
2020-01-29,Andorra,42.5063,1.5218,0,0
2020-01-30,Andorra,42.5063,1.5218,0,0
2020-01-31,Andorra,42.5063,1.5218,0,0
2020-02-01,Andorra,42.5063,1.5218,0,0
2020-02-02,Andorra,42.5063,1.5218,0,0
2020-02-03,Andorra,42.5063,1.5218,0,0
2020-02-04,Andorra,42.5063,1.5218,0,0
2020-02-05,Andorra,42.5063,1.5218,0,0
2020-02-06,Andorra,42.5063,1.5218,0,0
2020-02-07,Andorra,42.5063,1.5218,0,0
2020-02-08,Andorra,42.5063,1.5218,0,0
2020-02-09,Andorra,42.5063,1.5218,0,0
2020-02-10,Andorra,42.5063,1.5218,0,0
2020-02-11,Andorra,42.5063,1.5218,0,0
2020-02-12,Andorra,42.5063,1.5218,0,0
2020-02-13,Andorra,42.5063,1.5218,0,0
2020-02-14,Andorra,42.5063,1.5218,0,0
2020-02-15,Andorra,42.5063,1.5218,0,0
2020-02-16,Andorra,42.5063,1.5218,0,0
2020-02-17,Andorra,42.5063,1.5218,0,0
2020-02-18,Andorra,42.5063,1.5218,0,0
2020-02-19,Andorra,42.5063,1.5218,0,0
2020-02-20,Andorra,42.5063,1.5218,0,0
2020-02-21,Andorra,42.5063,1.5218,0,0
2020-02-22,Andorra,42.5063,1.5218,0,0
2020-02-23,Andorra,42.5063,1.5218,0,0
2020-02-24,Andorra,42.5063,1.5218,0,0
2020-02-25,Andorra,42.5063,1.5218,0,0
2020-02-26,Andorra,42.5063,1.5218,0,0
2020-02-27,Andorra,42.5063,1.5218,0,0
2020-02-28,Andorra,42.5063,1.5218,0,0
2020-02-29,Andorra,42.5063,1.5218,0,0
2020-03-01,Andorra,42.5063,1.5218,0,0
2020-03-02,Andorra,42.5063,1.5218,1,0
2020-03-03,Andorra,42.5063,1.5218,1,0
2020-03-04,Andorra,42.5063,1.5218,1,0
2020-03-05,Andorra,42.5063,1.5218,1,0
2020-03-06,Andorra,42.5063,1.5218,1,0
2020-03-07,Andorra,42.5063,1.5218,1,0
2020-03-08,Andorra,42.5063,1.5218,1,0
2020-03-09,Andorra,42.5063,1.5218,1,0
2020-03-10,Andorra,42.5063,1.5218,1,0
2020-03-11,Andorra,42.5063,1.5218,1,0
2020-03-12,Andorra,42.5063,1.5218,1,0
2020-03-13,Andorra,42.5063,1.5218,1,0
2020-03-14,Andorra,42.5063,1.5218,1,0
2020-03-15,Andorra,42.5063,1.5218,1,0
2020-03-16,Andorra,42.5063,1.5218,2,0
2020-03-17,Andorra,42.5063,1.5218,39,0
2020-03-18,Andorra,42.5063,1.5218,39,0
2020-03-19,Andorra,42.5063,1.5218,53,0
2020-03-20,Andorra,42.5063,1.5218,75,0
2020-03-21,Andorra,42.5063,1.5218,88,0
2020-03-22,Andorra,42.5063,1.5218,113,1
2020-03-23,Andorra,42.5063,1.5218,133,1
2020-03-24,Andorra,42.5063,1.5218,164,1
2020-03-25,Andorra,42.5063,1.5218,188,1
2020-03-26,Andorra,42.5063,1.5218,224,3
2020-03-27,Andorra,42.5063,1.5218,267,3
2020-03-28,Andorra,42.5063,1.5218,308,3
2020-03-29,Andorra,42.5063,1.5218,334,6
2020-03-30,Andorra,42.5063,1.5218,370,8
2020-03-31,Andorra,42.5063,1.5218,376,12
2020-04-01,Andorra,42.5063,1.5218,390,14
2020-04-02,Andorra,42.5063,1.5218,428,15
2020-04-03,Andorra,42.5063,1.5218,439,16
2020-04-04,Andorra,42.5063,1.5218,466,17
2020-04-05,Andorra,42.5063,1.5218,501,18
2020-04-06,Andorra,42.5063,1.5218,525,21
2020-04-07,Andorra,42.5063,1.5218,545,22
2020-01-22,Angola,-11.2027,17.8739,0,0
2020-01-23,Angola,-11.2027,17.8739,0,0
2020-01-24,Angola,-11.2027,17.8739,0,0
2020-01-25,Angola,-11.2027,17.8739,0,0
2020-01-26,Angola,-11.2027,17.8739,0,0
2020-01-27,Angola,-11.2027,17.8739,0,0
2020-01-28,Angola,-11.2027,17.8739,0,0
2020-01-29,Angola,-11.2027,17.8739,0,0
2020-01-30,Angola,-11.2027,17.8739,0,0
2020-01-31,Angola,-11.2027,17.8739,0,0
2020-02-01,Angola,-11.2027,17.8739,0,0
2020-02-02,Angola,-11.2027,17.8739,0,0
2020-02-03,Angola,-11.2027,17.8739,0,0
2020-02-04,Angola,-11.2027,17.8739,0,0
2020-02-05,Angola,-11.2027,17.8739,0,0
2020-02-06,Angola,-11.2027,17.8739,0,0
2020-02-07,Angola,-11.2027,17.8739,0,0
2020-02-08,Angola,-11.2027,17.8739,0,0
2020-02-09,Angola,-11.2027,17.8739,0,0
2020-02-10,Angola,-11.2027,17.8739,0,0
2020-02-11,Angola,-11.2027,17.8739,0,0
2020-02-12,Angola,-11.2027,17.8739,0,0
2020-02-13,Angola,-11.2027,17.8739,0,0
2020-02-14,Angola,-11.2027,17.8739,0,0
2020-02-15,Angola,-11.2027,17.8739,0,0
2020-02-16,Angola,-11.2027,17.8739,0,0
2020-02-17,Angola,-11.2027,17.8739,0,0
2020-02-18,Angola,-11.2027,17.8739,0,0
2020-02-19,Angola,-11.2027,17.8739,0,0
2020-02-20,Angola,-11.2027,17.8739,0,0
2020-02-21,Angola,-11.2027,17.8739,0,0
2020-02-22,Angola,-11.2027,17.8739,0,0
2020-02-23,Angola,-11.2027,17.8739,0,0
2020-02-24,Angola,-11.2027,17.8739,0,0
2020-02-25,Angola,-11.2027,17.8739,0,0
2020-02-26,Angola,-11.2027,17.8739,0,0
2020-02-27,Angola,-11.2027,17.8739,0,0
2020-02-28,Angola,-11.2027,17.8739,0,0
2020-02-29,Angola,-11.2027,17.8739,0,0
2020-03-01,Angola,-11.2027,17.8739,0,0
2020-03-02,Angola,-11.2027,17.8739,0,0
2020-03-03,Angola,-11.2027,17.8739,0,0
2020-03-04,Angola,-11.2027,17.8739,0,0
2020-03-05,Angola,-11.2027,17.8739,0,0
2020-03-06,Angola,-11.2027,17.8739,0,0
2020-03-07,Angola,-11.2027,17.8739,0,0
2020-03-08,Angola,-11.2027,17.8739,0,0
2020-03-09,Angola,-11.2027,17.8739,0,0
2020-03-10,Angola,-11.2027,17.8739,0,0
2020-03-11,Angola,-11.2027,17.8739,0,0
2020-03-12,Angola,-11.2027,17.8739,0,0
2020-03-13,Angola,-11.2027,17.8739,0,0
2020-03-14,Angola,-11.2027,17.8739,0,0
2020-03-15,Angola,-11.2027,17.8739,0,0
2020-03-16,Angola,-11.2027,17.8739,0,0
2020-03-17,Angola,-11.2027,17.8739,0,0
2020-03-18,Angola,-11.2027,17.8739,0,0
2020-03-19,Angola,-11.2027,17.8739,0,0
2020-03-20,Angola,-11.2027,17.8739,1,0
2020-03-21,Angola,-11.2027,17.8739,2,0
2020-03-22,Angola,-11.2027,17.8739,2,0
2020-03-23,Angola,-11.2027,17.8739,3,0
2020-03-24,Angola,-11.2027,17.8739,3,0
2020-03-25,Angola,-11.2027,17.8739,3,0
2020-03-26,Angola,-11.2027,17.8739,4,0
2020-03-27,Angola,-11.2027,17.8739,4,0
2020-03-28,Angola,-11.2027,17.8739,5,0
2020-03-29,Angola,-11.2027,17.8739,7,2
2020-03-30,Angola,-11.2027,17.8739,7,2
2020-03-31,Angola,-11.2027,17.8739,7,2
2020-04-01,Angola,-11.2027,17.8739,8,2
2020-04-02,Angola,-11.2027,17.8739,8,2
2020-04-03,Angola,-11.2027,17.8739,8,2
2020-04-04,Angola,-11.2027,17.8739,10,2
2020-04-05,Angola,-11.2027,17.8739,14,2
2020-04-06,Angola,-11.2027,17.8739,16,2
2020-04-07,Angola,-11.2027,17.8739,17,2
2020-01-22,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-01-23,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-01-24,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-01-25,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-01-26,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-01-27,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-01-28,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-01-29,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-01-30,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-01-31,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-02-01,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-02-02,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-02-03,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-02-04,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-02-05,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-02-06,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-02-07,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-02-08,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-02-09,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-02-10,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-02-11,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-02-12,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-02-13,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-02-14,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-02-15,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-02-16,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-02-17,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-02-18,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-02-19,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-02-20,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-02-21,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-02-22,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-02-23,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-02-24,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-02-25,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-02-26,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-02-27,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-02-28,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-02-29,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-03-01,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-03-02,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-03-03,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-03-04,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-03-05,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-03-06,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-03-07,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-03-08,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-03-09,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-03-10,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-03-11,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-03-12,Antigua and Barbuda,17.0608,-61.7964,0,0
2020-03-13,Antigua and Barbuda,17.0608,-61.7964,1,0
2020-03-14,Antigua and Barbuda,17.0608,-61.7964,1,0
2020-03-15,Antigua and Barbuda,17.0608,-61.7964,1,0
2020-03-16,Antigua and Barbuda,17.0608,-61.7964,1,0
2020-03-17,Antigua and Barbuda,17.0608,-61.7964,1,0
2020-03-18,Antigua and Barbuda,17.0608,-61.7964,1,0
2020-03-19,Antigua and Barbuda,17.0608,-61.7964,1,0
2020-03-20,Antigua and Barbuda,17.0608,-61.7964,1,0
2020-03-21,Antigua and Barbuda,17.0608,-61.7964,1,0
2020-03-22,Antigua and Barbuda,17.0608,-61.7964,1,0
2020-03-23,Antigua and Barbuda,17.0608,-61.7964,3,0
2020-03-24,Antigua and Barbuda,17.0608,-61.7964,3,0
2020-03-25,Antigua and Barbuda,17.0608,-61.7964,3,0
2020-03-26,Antigua and Barbuda,17.0608,-61.7964,7,0
2020-03-27,Antigua and Barbuda,17.0608,-61.7964,7,0
2020-03-28,Antigua and Barbuda,17.0608,-61.7964,7,0
2020-03-29,Antigua and Barbuda,17.0608,-61.7964,7,0
2020-03-30,Antigua and Barbuda,17.0608,-61.7964,7,0
2020-03-31,Antigua and Barbuda,17.0608,-61.7964,7,0
2020-04-01,Antigua and Barbuda,17.0608,-61.7964,7,0
2020-04-02,Antigua and Barbuda,17.0608,-61.7964,9,0
2020-04-03,Antigua and Barbuda,17.0608,-61.7964,15,0
2020-04-04,Antigua and Barbuda,17.0608,-61.7964,15,0
2020-04-05,Antigua and Barbuda,17.0608,-61.7964,15,0
2020-04-06,Antigua and Barbuda,17.0608,-61.7964,15,0
2020-04-07,Antigua and Barbuda,17.0608,-61.7964,19,1
2020-01-22,Argentina,-38.4161,-63.6167,0,0
2020-01-23,Argentina,-38.4161,-63.6167,0,0
2020-01-24,Argentina,-38.4161,-63.6167,0,0
2020-01-25,Argentina,-38.4161,-63.6167,0,0
2020-01-26,Argentina,-38.4161,-63.6167,0,0
2020-01-27,Argentina,-38.4161,-63.6167,0,0
2020-01-28,Argentina,-38.4161,-63.6167,0,0
2020-01-29,Argentina,-38.4161,-63.6167,0,0
2020-01-30,Argentina,-38.4161,-63.6167,0,0
2020-01-31,Argentina,-38.4161,-63.6167,0,0
2020-02-01,Argentina,-38.4161,-63.6167,0,0
2020-02-02,Argentina,-38.4161,-63.6167,0,0
2020-02-03,Argentina,-38.4161,-63.6167,0,0
2020-02-04,Argentina,-38.4161,-63.6167,0,0
2020-02-05,Argentina,-38.4161,-63.6167,0,0
2020-02-06,Argentina,-38.4161,-63.6167,0,0
2020-02-07,Argentina,-38.4161,-63.6167,0,0
2020-02-08,Argentina,-38.4161,-63.6167,0,0
2020-02-09,Argentina,-38.4161,-63.6167,0,0
2020-02-10,Argentina,-38.4161,-63.6167,0,0
2020-02-11,Argentina,-38.4161,-63.6167,0,0
2020-02-12,Argentina,-38.4161,-63.6167,0,0
2020-02-13,Argentina,-38.4161,-63.6167,0,0
2020-02-14,Argentina,-38.4161,-63.6167,0,0
2020-02-15,Argentina,-38.4161,-63.6167,0,0
2020-02-16,Argentina,-38.4161,-63.6167,0,0
2020-02-17,Argentina,-38.4161,-63.6167,0,0
2020-02-18,Argentina,-38.4161,-63.6167,0,0
2020-02-19,Argentina,-38.4161,-63.6167,0,0
2020-02-20,Argentina,-38.4161,-63.6167,0,0
2020-02-21,Argentina,-38.4161,-63.6167,0,0
2020-02-22,Argentina,-38.4161,-63.6167,0,0
2020-02-23,Argentina,-38.4161,-63.6167,0,0
2020-02-24,Argentina,-38.4161,-63.6167,0,0
2020-02-25,Argentina,-38.4161,-63.6167,0,0
2020-02-26,Argentina,-38.4161,-63.6167,0,0
2020-02-27,Argentina,-38.4161,-63.6167,0,0
2020-02-28,Argentina,-38.4161,-63.6167,0,0
2020-02-29,Argentina,-38.4161,-63.6167,0,0
2020-03-01,Argentina,-38.4161,-63.6167,0,0
2020-03-02,Argentina,-38.4161,-63.6167,0,0
2020-03-03,Argentina,-38.4161,-63.6167,1,0
2020-03-04,Argentina,-38.4161,-63.6167,1,0
2020-03-05,Argentina,-38.4161,-63.6167,1,0
2020-03-06,Argentina,-38.4161,-63.6167,2,0
2020-03-07,Argentina,-38.4161,-63.6167,8,0
2020-03-08,Argentina,-38.4161,-63.6167,12,1
2020-03-09,Argentina,-38.4161,-63.6167,12,1
2020-03-10,Argentina,-38.4161,-63.6167,17,1
2020-03-11,Argentina,-38.4161,-63.6167,19,1
2020-03-12,Argentina,-38.4161,-63.6167,19,1
2020-03-13,Argentina,-38.4161,-63.6167,31,2
